id,german,english,german_sentence,english_sentence
22,was,what,Mit 'was' kann man viele Sätze bilden.,With 'was' you can form many sentences.
23,einige,some,Mit 'einige' kann man viele Sätze bilden.,With 'einige' you can form many sentences.
24,ist,is,Ich benutze oft das Wort 'ist' im Alltag.,I often use the word 'ist' in daily life.
25,es,it,Ich benutze oft das Wort 'es' im Alltag.,I often use the word 'es' in daily life.
26,Sie,you,Mit 'Sie' kann man viele Sätze bilden.,With 'Sie' you can form many sentences.
27,oder,or,"Kannst du mir bitte erklären, was 'oder' bedeutet?",Can you please explain to me what 'oder' means?
28,hatte,had,"Gestern habe ich ein Buch gelesen, in dem oft 'hatte' stand.",Yesterday I read a book in which often 'hatte' appeared.
29,die,the,"Kannst du mir bitte erklären, was 'die' bedeutet?",Can you please explain to me what 'die' means?
30,von,of,'von' ist ein wichtiges Wort in der deutschen Sprache.,'von' is an important word in the German language.
31,zu,to,Ich benutze oft das Wort 'zu' im Alltag.,I often use the word 'zu' in daily life.
32,und,and,"Kannst du mir bitte erklären, was 'und' bedeutet?",Can you please explain to me what 'und' means?
33,ein,a,Mit 'ein' kann man viele Sätze bilden.,With 'ein' you can form many sentences.
34,bei,in,"Gestern habe ich ein Buch gelesen, in dem oft 'bei' stand.",Yesterday I read a book in which often 'bei' appeared.
35,wir,we,Ich benutze oft das Wort 'wir' im Alltag.,I often use the word 'wir' in daily life.
36,können,can,'können' ist ein wichtiges Wort in der deutschen Sprache.,'können' is an important word in the German language.
37,aus,out,"Kannst du mir bitte erklären, was 'aus' bedeutet?",Can you please explain to me what 'aus' means?
38,andere,other,"Gestern habe ich ein Buch gelesen, in dem oft 'andere' stand.",Yesterday I read a book in which often 'andere' appeared.
39,waren,were,'waren' ist ein wichtiges Wort in der deutschen Sprache.,'waren' is an important word in the German language.
40,die,which,"Kannst du mir bitte erklären, was 'die' bedeutet?",Can you please explain to me what 'die' means?
41,tun,do,Mit 'tun' kann man viele Sätze bilden.,With 'tun' you can form many sentences.
42,ihre,their,Ich benutze oft das Wort 'ihre' im Alltag.,I often use the word 'ihre' in daily life.
43,Zeit,time,'Zeit' ist ein wichtiges Wort in der deutschen Sprache.,'Zeit' is an important word in the German language.
44,wenn,if,"Gestern habe ich ein Buch gelesen, in dem oft 'wenn' stand.",Yesterday I read a book in which often 'wenn' appeared.
45,werden,will,'werden' ist ein wichtiges Wort in der deutschen Sprache.,'werden' is an important word in the German language.
46,wie,how,Ich benutze oft das Wort 'wie' im Alltag.,I often use the word 'wie' in daily life.
47,sagte,said,"Gestern habe ich ein Buch gelesen, in dem oft 'sagte' stand.",Yesterday I read a book in which often 'sagte' appeared.
48,ein,an,Ich benutze oft das Wort 'ein' im Alltag.,I often use the word 'ein' in daily life.
49,jeder,each,'jeder' ist ein wichtiges Wort in der deutschen Sprache.,'jeder' is an important word in the German language.
50,sagen,tell,"Kannst du mir bitte erklären, was 'sagen' bedeutet?",Can you please explain to me what 'sagen' means?
51,tut,does,Mit 'tut' kann man viele Sätze bilden.,With 'tut' you can form many sentences.
52,Satz,set,Mit 'Satz' kann man viele Sätze bilden.,With 'Satz' you can form many sentences.
53,drei,three,"Gestern habe ich ein Buch gelesen, in dem oft 'drei' stand.",Yesterday I read a book in which often 'drei' appeared.
54,wollen,want,"Kannst du mir bitte erklären, was 'wollen' bedeutet?",Can you please explain to me what 'wollen' means?
55,Luft,air,Ich benutze oft das Wort 'Luft' im Alltag.,I often use the word 'Luft' in daily life.
56,gut,well,Ich benutze oft das Wort 'gut' im Alltag.,I often use the word 'gut' in daily life.
57,auch,also,"Gestern habe ich ein Buch gelesen, in dem oft 'auch' stand.",Yesterday I read a book in which often 'auch' appeared.
58,spielen,play,Ich benutze oft das Wort 'spielen' im Alltag.,I often use the word 'spielen' in daily life.
59,klein,small,Ich benutze oft das Wort 'klein' im Alltag.,I often use the word 'klein' in daily life.
60,Ende,end,'Ende' ist ein wichtiges Wort in der deutschen Sprache.,'Ende' is an important word in the German language.
61,setzen,put,Ich benutze oft das Wort 'setzen' im Alltag.,I often use the word 'setzen' in daily life.
62,Zuhause,home,Ich benutze oft das Wort 'Zuhause' im Alltag.,I often use the word 'Zuhause' in daily life.
63,lesen,read,"Gestern habe ich ein Buch gelesen, in dem oft 'lesen' stand.",Yesterday I read a book in which often 'lesen' appeared.
64,seits,hand,"Kannst du mir bitte erklären, was 'seits' bedeutet?",Can you please explain to me what 'seits' means?
65,Hafen,port,"Kannst du mir bitte erklären, was 'Hafen' bedeutet?",Can you please explain to me what 'Hafen' means?
66,groß,large,"Gestern habe ich ein Buch gelesen, in dem oft 'groß' stand.",Yesterday I read a book in which often 'groß' appeared.
67,buchstabieren,spell,"Gestern habe ich ein Buch gelesen, in dem oft 'buchstabieren' stand.",Yesterday I read a book in which often 'buchstabieren' appeared.
68,hinzufügen,add,"Gestern habe ich ein Buch gelesen, in dem oft 'hinzufügen' stand.",Yesterday I read a book in which often 'hinzufügen' appeared.
69,auch,even,Ich benutze oft das Wort 'auch' im Alltag.,I often use the word 'auch' in daily life.
70,Lande,land,'Lande' ist ein wichtiges Wort in der deutschen Sprache.,'Lande' is an important word in the German language.
71,hier,here,Mit 'hier' kann man viele Sätze bilden.,With 'hier' you can form many sentences.
72,muss,must,Ich benutze oft das Wort 'muss' im Alltag.,I often use the word 'muss' in daily life.
73,groß,big,"Kannst du mir bitte erklären, was 'groß' bedeutet?",Can you please explain to me what 'groß' means?
74,hoch,high,Mit 'hoch' kann man viele Sätze bilden.,With 'hoch' you can form many sentences.
75,so,such,"Kannst du mir bitte erklären, was 'so' bedeutet?",Can you please explain to me what 'so' means?
76,folgen,follow,"Kannst du mir bitte erklären, was 'folgen' bedeutet?",Can you please explain to me what 'folgen' means?
77,Akt,act,Ich benutze oft das Wort 'Akt' im Alltag.,I often use the word 'Akt' in daily life.
78,warum,why,"Kannst du mir bitte erklären, was 'warum' bedeutet?",Can you please explain to me what 'warum' means?
79,fragen,ask,"Kannst du mir bitte erklären, was 'fragen' bedeutet?",Can you please explain to me what 'fragen' means?
80,Männer,men,"Kannst du mir bitte erklären, was 'Männer' bedeutet?",Can you please explain to me what 'Männer' means?
81,Veränderung,change,Mit 'Veränderung' kann man viele Sätze bilden.,With 'Veränderung' you can form many sentences.
82,ging,went,Ich benutze oft das Wort 'ging' im Alltag.,I often use the word 'ging' in daily life.
83,Licht,light,Mit 'Licht' kann man viele Sätze bilden.,With 'Licht' you can form many sentences.
84,Art,kind,"Kannst du mir bitte erklären, was 'Art' bedeutet?",Can you please explain to me what 'Art' means?
85,aus,off,Ich benutze oft das Wort 'aus' im Alltag.,I often use the word 'aus' in daily life.
86,müssen,need,Ich benutze oft das Wort 'müssen' im Alltag.,I often use the word 'müssen' in daily life.
87,Haus,house,Ich benutze oft das Wort 'Haus' im Alltag.,I often use the word 'Haus' in daily life.
88,Bild,picture,'Bild' ist ein wichtiges Wort in der deutschen Sprache.,'Bild' is an important word in the German language.
89,versuchen,try,Mit 'versuchen' kann man viele Sätze bilden.,With 'versuchen' you can form many sentences.
90,uns,us,Mit 'uns' kann man viele Sätze bilden.,With 'uns' you can form many sentences.
91,wieder,again,"Gestern habe ich ein Buch gelesen, in dem oft 'wieder' stand.",Yesterday I read a book in which often 'wieder' appeared.
92,Tier,animal,"Kannst du mir bitte erklären, was 'Tier' bedeutet?",Can you please explain to me what 'Tier' means?
93,Punkt,point,"Gestern habe ich ein Buch gelesen, in dem oft 'Punkt' stand.",Yesterday I read a book in which often 'Punkt' appeared.
94,Mutter,mother,"Kannst du mir bitte erklären, was 'Mutter' bedeutet?",Can you please explain to me what 'Mutter' means?
95,Welt,world,"Kannst du mir bitte erklären, was 'Welt' bedeutet?",Can you please explain to me what 'Welt' means?
96,in der Nähe von,near,"Kannst du mir bitte erklären, was 'in der Nähe von' bedeutet?",Can you please explain to me what 'in der Nähe von' means?
97,bauen,build,"Gestern habe ich ein Buch gelesen, in dem oft 'bauen' stand.",Yesterday I read a book in which often 'bauen' appeared.
98,selbst,self,Ich benutze oft das Wort 'selbst' im Alltag.,I often use the word 'selbst' in daily life.
99,Erde,earth,"Kannst du mir bitte erklären, was 'Erde' bedeutet?",Can you please explain to me what 'Erde' means?
100,Vater,father,"Gestern habe ich ein Buch gelesen, in dem oft 'Vater' stand.",Yesterday I read a book in which often 'Vater' appeared.
101,jeder,any,Mit 'jeder' kann man viele Sätze bilden.,With 'jeder' you can form many sentences.
102,neu,new,Ich benutze oft das Wort 'neu' im Alltag.,I often use the word 'neu' in daily life.
103,Arbeit,work,Ich benutze oft das Wort 'Arbeit' im Alltag.,I often use the word 'Arbeit' in daily life.
104,Teil,part,'Teil' ist ein wichtiges Wort in der deutschen Sprache.,'Teil' is an important word in the German language.
105,nehmen,take,Mit 'nehmen' kann man viele Sätze bilden.,With 'nehmen' you can form many sentences.
106,erhalten,get,Ich benutze oft das Wort 'erhalten' im Alltag.,I often use the word 'erhalten' in daily life.
107,Ort,place,"Kannst du mir bitte erklären, was 'Ort' bedeutet?",Can you please explain to me what 'Ort' means?
108,gemacht,made,"Kannst du mir bitte erklären, was 'gemacht' bedeutet?",Can you please explain to me what 'gemacht' means?
109,leben,live,"Gestern habe ich ein Buch gelesen, in dem oft 'leben' stand.",Yesterday I read a book in which often 'leben' appeared.
110,wo,where,'wo' ist ein wichtiges Wort in der deutschen Sprache.,'wo' is an important word in the German language.
111,nach,after,Mit 'nach' kann man viele Sätze bilden.,With 'nach' you can form many sentences.
112,zurück,back,'zurück' ist ein wichtiges Wort in der deutschen Sprache.,'zurück' is an important word in the German language.
113,wenig,little,'wenig' ist ein wichtiges Wort in der deutschen Sprache.,'wenig' is an important word in the German language.
114,nur,only,'nur' ist ein wichtiges Wort in der deutschen Sprache.,'nur' is an important word in the German language.
115,Runde,round,Mit 'Runde' kann man viele Sätze bilden.,With 'Runde' you can form many sentences.
116,Mann,man,Mit 'Mann' kann man viele Sätze bilden.,With 'Mann' you can form many sentences.
117,Jahr,year,Ich benutze oft das Wort 'Jahr' im Alltag.,I often use the word 'Jahr' in daily life.
118,kam,came,'kam' ist ein wichtiges Wort in der deutschen Sprache.,'kam' is an important word in the German language.
119,zeigen,show,"Kannst du mir bitte erklären, was 'zeigen' bedeutet?",Can you please explain to me what 'zeigen' means?
120,jeder,every,"Kannst du mir bitte erklären, was 'jeder' bedeutet?",Can you please explain to me what 'jeder' means?
121,gut,good,Ich benutze oft das Wort 'gut' im Alltag.,I often use the word 'gut' in daily life.
122,mir,me,Ich benutze oft das Wort 'mir' im Alltag.,I often use the word 'mir' in daily life.
123,geben,give,"Kannst du mir bitte erklären, was 'geben' bedeutet?",Can you please explain to me what 'geben' means?
124,unsere,our,"Kannst du mir bitte erklären, was 'unsere' bedeutet?",Can you please explain to me what 'unsere' means?
125,unter,under,Mit 'unter' kann man viele Sätze bilden.,With 'unter' you can form many sentences.
126,Name,name,'Name' ist ein wichtiges Wort in der deutschen Sprache.,'Name' is an important word in the German language.
127,sehr,very,Ich benutze oft das Wort 'sehr' im Alltag.,I often use the word 'sehr' in daily life.
128,durch,through,"Kannst du mir bitte erklären, was 'durch' bedeutet?",Can you please explain to me what 'durch' means?
129,nur,just,'nur' ist ein wichtiges Wort in der deutschen Sprache.,'nur' is an important word in the German language.
130,Formular,form,Mit 'Formular' kann man viele Sätze bilden.,With 'Formular' you can form many sentences.
131,Satz,sentence,Ich benutze oft das Wort 'Satz' im Alltag.,I often use the word 'Satz' in daily life.
132,groß,great,"Gestern habe ich ein Buch gelesen, in dem oft 'groß' stand.",Yesterday I read a book in which often 'groß' appeared.
133,denken,think,"Kannst du mir bitte erklären, was 'denken' bedeutet?",Can you please explain to me what 'denken' means?
134,sagen,say,"Gestern habe ich ein Buch gelesen, in dem oft 'sagen' stand.",Yesterday I read a book in which often 'sagen' appeared.
135,Hilfe,help,'Hilfe' ist ein wichtiges Wort in der deutschen Sprache.,'Hilfe' is an important word in the German language.
136,niedrig,low,"Kannst du mir bitte erklären, was 'niedrig' bedeutet?",Can you please explain to me what 'niedrig' means?
137,Linie,line,"Gestern habe ich ein Buch gelesen, in dem oft 'Linie' stand.",Yesterday I read a book in which often 'Linie' appeared.
138,abweichen,differ,"Kannst du mir bitte erklären, was 'abweichen' bedeutet?",Can you please explain to me what 'abweichen' means?
139,wiederum,turn,"Kannst du mir bitte erklären, was 'wiederum' bedeutet?",Can you please explain to me what 'wiederum' means?
140,Ursache,cause,"Gestern habe ich ein Buch gelesen, in dem oft 'Ursache' stand.",Yesterday I read a book in which often 'Ursache' appeared.
141,viel,much,Mit 'viel' kann man viele Sätze bilden.,With 'viel' you can form many sentences.
142,bedeuten,mean,'bedeuten' ist ein wichtiges Wort in der deutschen Sprache.,'bedeuten' is an important word in the German language.
143,vor,before,Mit 'vor' kann man viele Sätze bilden.,With 'vor' you can form many sentences.
144,Umzug,move,Ich benutze oft das Wort 'Umzug' im Alltag.,I often use the word 'Umzug' in daily life.
145,Recht,right,"Kannst du mir bitte erklären, was 'Recht' bedeutet?",Can you please explain to me what 'Recht' means?
146,Junge,boy,'Junge' ist ein wichtiges Wort in der deutschen Sprache.,'Junge' is an important word in the German language.
147,alt,old,'alt' ist ein wichtiges Wort in der deutschen Sprache.,'alt' is an important word in the German language.
148,zu,too,'zu' ist ein wichtiges Wort in der deutschen Sprache.,'zu' is an important word in the German language.
149,gleich,same,'gleich' ist ein wichtiges Wort in der deutschen Sprache.,'gleich' is an important word in the German language.
150,sie,she,'sie' ist ein wichtiges Wort in der deutschen Sprache.,'sie' is an important word in the German language.
151,alle,all,Ich benutze oft das Wort 'alle' im Alltag.,I often use the word 'alle' in daily life.
152,da,there,Mit 'da' kann man viele Sätze bilden.,With 'da' you can form many sentences.
153,wenn,when,Ich benutze oft das Wort 'wenn' im Alltag.,I often use the word 'wenn' in daily life.
154,nach oben,up,"Gestern habe ich ein Buch gelesen, in dem oft 'nach oben' stand.",Yesterday I read a book in which often 'nach oben' appeared.
155,Verwendung,use,Mit 'Verwendung' kann man viele Sätze bilden.,With 'Verwendung' you can form many sentences.
156,Ihre,your,"Gestern habe ich ein Buch gelesen, in dem oft 'Ihre' stand.",Yesterday I read a book in which often 'Ihre' appeared.
157,Weg,way,"Gestern habe ich ein Buch gelesen, in dem oft 'Weg' stand.",Yesterday I read a book in which often 'Weg' appeared.
158,über,about,Ich benutze oft das Wort 'über' im Alltag.,I often use the word 'über' in daily life.
159,viele,many,Ich benutze oft das Wort 'viele' im Alltag.,I often use the word 'viele' in daily life.
160,dann,then,"Gestern habe ich ein Buch gelesen, in dem oft 'dann' stand.",Yesterday I read a book in which often 'dann' appeared.
161,sie,them,Mit 'sie' kann man viele Sätze bilden.,With 'sie' you can form many sentences.
162,schreiben,write,"Gestern habe ich ein Buch gelesen, in dem oft 'schreiben' stand.",Yesterday I read a book in which often 'schreiben' appeared.
163,würde,would,Ich benutze oft das Wort 'würde' im Alltag.,I often use the word 'würde' in daily life.
164,wie,like,"Gestern habe ich ein Buch gelesen, in dem oft 'wie' stand.",Yesterday I read a book in which often 'wie' appeared.
165,so,so,"Gestern habe ich ein Buch gelesen, in dem oft 'so' stand.",Yesterday I read a book in which often 'so' appeared.
166,diese,these,'diese' ist ein wichtiges Wort in der deutschen Sprache.,'diese' is an important word in the German language.
167,sie,her,Mit 'sie' kann man viele Sätze bilden.,With 'sie' you can form many sentences.
168,lange,long,"Gestern habe ich ein Buch gelesen, in dem oft 'lange' stand.",Yesterday I read a book in which often 'lange' appeared.
169,machen,make,"Kannst du mir bitte erklären, was 'machen' bedeutet?",Can you please explain to me what 'machen' means?
170,Sache,thing,Ich benutze oft das Wort 'Sache' im Alltag.,I often use the word 'Sache' in daily life.
171,sehen,see,Ich benutze oft das Wort 'sehen' im Alltag.,I often use the word 'sehen' in daily life.
172,ihm,him,"Gestern habe ich ein Buch gelesen, in dem oft 'ihm' stand.",Yesterday I read a book in which often 'ihm' appeared.
173,zwei,two,"Kannst du mir bitte erklären, was 'zwei' bedeutet?",Can you please explain to me what 'zwei' means?
174,hat,has,"Gestern habe ich ein Buch gelesen, in dem oft 'hat' stand.",Yesterday I read a book in which often 'hat' appeared.
175,suchen,look,"Gestern habe ich ein Buch gelesen, in dem oft 'suchen' stand.",Yesterday I read a book in which often 'suchen' appeared.
176,mehr,more,"Kannst du mir bitte erklären, was 'mehr' bedeutet?",Can you please explain to me what 'mehr' means?
177,Tag,day,Ich benutze oft das Wort 'Tag' im Alltag.,I often use the word 'Tag' in daily life.
178,könnte,could,Ich benutze oft das Wort 'könnte' im Alltag.,I often use the word 'könnte' in daily life.
179,gehen,go,'gehen' ist ein wichtiges Wort in der deutschen Sprache.,'gehen' is an important word in the German language.
180,kommen,come,Ich benutze oft das Wort 'kommen' im Alltag.,I often use the word 'kommen' in daily life.
181,tat,did,Ich benutze oft das Wort 'tat' im Alltag.,I often use the word 'tat' in daily life.
182,Anzahl,number,"Gestern habe ich ein Buch gelesen, in dem oft 'Anzahl' stand.",Yesterday I read a book in which often 'Anzahl' appeared.
183,klingen,sound,"Gestern habe ich ein Buch gelesen, in dem oft 'klingen' stand.",Yesterday I read a book in which often 'klingen' appeared.
184,nicht,no,Ich benutze oft das Wort 'nicht' im Alltag.,I often use the word 'nicht' in daily life.
185,am meisten,most,'am meisten' ist ein wichtiges Wort in der deutschen Sprache.,'am meisten' is an important word in the German language.
186,Menschen,people,"Gestern habe ich ein Buch gelesen, in dem oft 'Menschen' stand.",Yesterday I read a book in which often 'Menschen' appeared.
187,meine,my,"Kannst du mir bitte erklären, was 'meine' bedeutet?",Can you please explain to me what 'meine' means?
188,über,over,Mit 'über' kann man viele Sätze bilden.,With 'über' you can form many sentences.
189,wissen,know,"Gestern habe ich ein Buch gelesen, in dem oft 'wissen' stand.",Yesterday I read a book in which often 'wissen' appeared.
190,Wasser,water,"Gestern habe ich ein Buch gelesen, in dem oft 'Wasser' stand.",Yesterday I read a book in which often 'Wasser' appeared.
191,als,than,Ich benutze oft das Wort 'als' im Alltag.,I often use the word 'als' in daily life.
192,Anruf,call,"Gestern habe ich ein Buch gelesen, in dem oft 'Anruf' stand.",Yesterday I read a book in which often 'Anruf' appeared.
193,erste,first,"Kannst du mir bitte erklären, was 'erste' bedeutet?",Can you please explain to me what 'erste' means?
194,die,who,"Gestern habe ich ein Buch gelesen, in dem oft 'die' stand.",Yesterday I read a book in which often 'die' appeared.
195,können,may,"Kannst du mir bitte erklären, was 'können' bedeutet?",Can you please explain to me what 'können' means?
196,nach unten,down,"Gestern habe ich ein Buch gelesen, in dem oft 'nach unten' stand.",Yesterday I read a book in which often 'nach unten' appeared.
197,Seite,side,Mit 'Seite' kann man viele Sätze bilden.,With 'Seite' you can form many sentences.
198,gewesen,been,"Kannst du mir bitte erklären, was 'gewesen' bedeutet?",Can you please explain to me what 'gewesen' means?
199,jetzt,now,"Kannst du mir bitte erklären, was 'jetzt' bedeutet?",Can you please explain to me what 'jetzt' means?
200,finden,find,Ich benutze oft das Wort 'finden' im Alltag.,I often use the word 'finden' in daily life.
201,Kopf,head,Mit 'Kopf' kann man viele Sätze bilden.,With 'Kopf' you can form many sentences.
202,stehen,stand,'stehen' ist ein wichtiges Wort in der deutschen Sprache.,'stehen' is an important word in the German language.
203,besitzen,own,"Gestern habe ich ein Buch gelesen, in dem oft 'besitzen' stand.",Yesterday I read a book in which often 'besitzen' appeared.
204,Seite,page,"Kannst du mir bitte erklären, was 'Seite' bedeutet?",Can you please explain to me what 'Seite' means?
205,sollte,should,Ich benutze oft das Wort 'sollte' im Alltag.,I often use the word 'sollte' in daily life.
206,Land,country,Mit 'Land' kann man viele Sätze bilden.,With 'Land' you can form many sentences.
207,gefunden,found,"Kannst du mir bitte erklären, was 'gefunden' bedeutet?",Can you please explain to me what 'gefunden' means?
208,Antwort,answer,'Antwort' ist ein wichtiges Wort in der deutschen Sprache.,'Antwort' is an important word in the German language.
209,Schule,school,"Kannst du mir bitte erklären, was 'Schule' bedeutet?",Can you please explain to me what 'Schule' means?
210,wachsen,grow,'wachsen' ist ein wichtiges Wort in der deutschen Sprache.,'wachsen' is an important word in the German language.
211,Studie,study,"Gestern habe ich ein Buch gelesen, in dem oft 'Studie' stand.",Yesterday I read a book in which often 'Studie' appeared.
212,noch,still,'noch' ist ein wichtiges Wort in der deutschen Sprache.,'noch' is an important word in the German language.
213,lernen,learn,Ich benutze oft das Wort 'lernen' im Alltag.,I often use the word 'lernen' in daily life.
214,Anlage,plant,"Gestern habe ich ein Buch gelesen, in dem oft 'Anlage' stand.",Yesterday I read a book in which often 'Anlage' appeared.
215,Abdeckung,cover,'Abdeckung' ist ein wichtiges Wort in der deutschen Sprache.,'Abdeckung' is an important word in the German language.
216,Lebensmittel,food,Ich benutze oft das Wort 'Lebensmittel' im Alltag.,I often use the word 'Lebensmittel' in daily life.
217,Sonne,sun,'Sonne' ist ein wichtiges Wort in der deutschen Sprache.,'Sonne' is an important word in the German language.
218,vier,four,"Kannst du mir bitte erklären, was 'vier' bedeutet?",Can you please explain to me what 'vier' means?
219,zwischen,between,Ich benutze oft das Wort 'zwischen' im Alltag.,I often use the word 'zwischen' in daily life.
220,Zustand,state,Mit 'Zustand' kann man viele Sätze bilden.,With 'Zustand' you can form many sentences.
221,halten,keep,"Gestern habe ich ein Buch gelesen, in dem oft 'halten' stand.",Yesterday I read a book in which often 'halten' appeared.
222,Auge,eye,'Auge' ist ein wichtiges Wort in der deutschen Sprache.,'Auge' is an important word in the German language.
223,nie,never,'nie' ist ein wichtiges Wort in der deutschen Sprache.,'nie' is an important word in the German language.
224,letzte,last,'letzte' ist ein wichtiges Wort in der deutschen Sprache.,'letzte' is an important word in the German language.
225,lassen,let,"Kannst du mir bitte erklären, was 'lassen' bedeutet?",Can you please explain to me what 'lassen' means?
226,Gedanken,thought,Mit 'Gedanken' kann man viele Sätze bilden.,With 'Gedanken' you can form many sentences.
227,Stadt,city,Ich benutze oft das Wort 'Stadt' im Alltag.,I often use the word 'Stadt' in daily life.
228,Baum,tree,'Baum' ist ein wichtiges Wort in der deutschen Sprache.,'Baum' is an important word in the German language.
229,überqueren,cross,Mit 'überqueren' kann man viele Sätze bilden.,With 'überqueren' you can form many sentences.
230,Bauernhof,farm,"Kannst du mir bitte erklären, was 'Bauernhof' bedeutet?",Can you please explain to me what 'Bauernhof' means?
231,schwer,hard,Ich benutze oft das Wort 'schwer' im Alltag.,I often use the word 'schwer' in daily life.
232,Beginn,start,"Gestern habe ich ein Buch gelesen, in dem oft 'Beginn' stand.",Yesterday I read a book in which often 'Beginn' appeared.
233,Macht,might,"Kannst du mir bitte erklären, was 'Macht' bedeutet?",Can you please explain to me what 'Macht' means?
234,Geschichte,story,'Geschichte' ist ein wichtiges Wort in der deutschen Sprache.,'Geschichte' is an important word in the German language.
235,Säge,saw,Mit 'Säge' kann man viele Sätze bilden.,With 'Säge' you can form many sentences.
236,weit,far,Ich benutze oft das Wort 'weit' im Alltag.,I often use the word 'weit' in daily life.
237,Meer,sea,Mit 'Meer' kann man viele Sätze bilden.,With 'Meer' you can form many sentences.
238,ziehen,draw,Ich benutze oft das Wort 'ziehen' im Alltag.,I often use the word 'ziehen' in daily life.
239,links,left,Ich benutze oft das Wort 'links' im Alltag.,I often use the word 'links' in daily life.
240,spät,late,Ich benutze oft das Wort 'spät' im Alltag.,I often use the word 'spät' in daily life.
241,laufen,run,"Gestern habe ich ein Buch gelesen, in dem oft 'laufen' stand.",Yesterday I read a book in which often 'laufen' appeared.
242,unterlassen Sie,don’t,"Gestern habe ich ein Buch gelesen, in dem oft 'unterlassen Sie' stand.",Yesterday I read a book in which often 'unterlassen Sie' appeared.
243,während,while,"Kannst du mir bitte erklären, was 'während' bedeutet?",Can you please explain to me what 'während' means?
244,Presse,press,'Presse' ist ein wichtiges Wort in der deutschen Sprache.,'Presse' is an important word in the German language.
245,Schließen,close,'Schließen' ist ein wichtiges Wort in der deutschen Sprache.,'Schließen' is an important word in the German language.
246,Nacht,night,Ich benutze oft das Wort 'Nacht' im Alltag.,I often use the word 'Nacht' in daily life.
247,realen,real,Ich benutze oft das Wort 'realen' im Alltag.,I often use the word 'realen' in daily life.
248,Leben,life,"Gestern habe ich ein Buch gelesen, in dem oft 'Leben' stand.",Yesterday I read a book in which often 'Leben' appeared.
249,wenige,few,'wenige' ist ein wichtiges Wort in der deutschen Sprache.,'wenige' is an important word in the German language.
250,Norden,north,Ich benutze oft das Wort 'Norden' im Alltag.,I often use the word 'Norden' in daily life.
251,Buch,book,'Buch' ist ein wichtiges Wort in der deutschen Sprache.,'Buch' is an important word in the German language.
252,tragen,carry,'tragen' ist ein wichtiges Wort in der deutschen Sprache.,'tragen' is an important word in the German language.
253,nahm,took,'nahm' ist ein wichtiges Wort in der deutschen Sprache.,'nahm' is an important word in the German language.
254,Wissenschaft,science,"Kannst du mir bitte erklären, was 'Wissenschaft' bedeutet?",Can you please explain to me what 'Wissenschaft' means?
255,essen,eat,'essen' ist ein wichtiges Wort in der deutschen Sprache.,'essen' is an important word in the German language.
256,Zimmer,room,"Kannst du mir bitte erklären, was 'Zimmer' bedeutet?",Can you please explain to me what 'Zimmer' means?
257,Freund,friend,'Freund' ist ein wichtiges Wort in der deutschen Sprache.,'Freund' is an important word in the German language.
258,begann,began,"Gestern habe ich ein Buch gelesen, in dem oft 'begann' stand.",Yesterday I read a book in which often 'begann' appeared.
259,Idee,idea,'Idee' ist ein wichtiges Wort in der deutschen Sprache.,'Idee' is an important word in the German language.
